identifier	case	otest_types	semantics	profiles	status	normative_syntax	premise	conclusion	rl_corpus	dl_corpus	dl_probe
New-Feature-AxiomAnnotations-001	new-feature-axiomannotations-001	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
New-Feature-BottomDataProperty-001	new-feature-bottomdataproperty-001	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
New-Feature-BottomObjectProperty-001	new-feature-bottomobjectproperty-001	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
New-Feature-DataQCR-001	new-feature-dataqcr-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL;RDFXML	yes	conclusion	outside-rl-profile	graded	graded
New-Feature-DisjointDataProperties-001	new-feature-disjointdataproperties-001	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	QL;RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
New-Feature-DisjointDataProperties-002	new-feature-disjointdataproperties-002	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	QL;RL	Approved	FUNCTIONAL;RDFXML	yes	conclusion	graded-positive	graded	graded
New-Feature-DisjointObjectProperties-001	new-feature-disjointobjectproperties-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	QL;RL	Approved	FUNCTIONAL;RDFXML	yes	conclusion	graded-positive	graded	graded
New-Feature-DisjointObjectProperties-002	new-feature-disjointobjectproperties-002	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	QL;RL	Approved	FUNCTIONAL;RDFXML	yes	conclusion	graded-positive	graded	graded
New-Feature-DisjointUnion-001	new-feature-disjointunion-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL;RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
New-Feature-IrreflexiveProperty-001	new-feature-irreflexiveproperty-001	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
New-Feature-Keys-001	new-feature-keys-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL	Approved	FUNCTIONAL;RDFXML	yes	conclusion	outside-rl-profile	graded	graded
New-Feature-Keys-002	new-feature-keys-002	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
New-Feature-Keys-003	new-feature-keys-003	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	FUNCTIONAL;RDFXML	yes	conclusion	graded-positive	graded	graded
New-Feature-Keys-004	new-feature-keys-004	ConsistencyTest;NegativeEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	FUNCTIONAL;RDFXML	yes	non-conclusion	graded-negative	not-vendored	decides-consistent
New-Feature-Keys-005	new-feature-keys-005	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
New-Feature-Keys-006	new-feature-keys-006	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
New-Feature-Keys-007	new-feature-keys-007	ConsistencyTest;NegativeEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL	Approved	FUNCTIONAL;RDFXML	yes	non-conclusion	graded-negative	not-vendored	decides-consistent
New-Feature-NegativeDataPropertyAssertion-001	new-feature-negativedatapropertyassertion-001	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
New-Feature-NegativeObjectPropertyAssertion-001	new-feature-negativeobjectpropertyassertion-001	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
New-Feature-ObjectPropertyChain-001	new-feature-objectpropertychain-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	FUNCTIONAL;RDFXML	yes	conclusion	graded-positive	graded	graded
New-Feature-ObjectPropertyChain-BJP-002	new-feature-objectpropertychain-bjp-002	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Proposed	FUNCTIONAL	no	none	no-rdfxml-premise	not-vendored	no-rdfxml-premise
New-Feature-ObjectPropertyChain-BJP-003	new-feature-objectpropertychain-bjp-003	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	RDFXML	yes	conclusion	graded-positive	graded	graded
New-Feature-ObjectPropertyChain-BJP-004	new-feature-objectpropertychain-bjp-004	ConsistencyTest;NegativeEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	RDFXML	yes	non-conclusion	graded-negative	not-vendored	decides-consistent
New-Feature-ObjectQCR-001	new-feature-objectqcr-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL;RDFXML	yes	conclusion	outside-rl-profile	graded	graded
New-Feature-ObjectQCR-002	new-feature-objectqcr-002	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	RL	Approved	FUNCTIONAL;RDFXML	yes	conclusion	graded-positive	graded	graded
New-Feature-Rational-001	new-feature-rational-001	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
New-Feature-Rational-002	new-feature-rational-002	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	not-vendored	withholds-reasoner
New-Feature-Rational-003	new-feature-rational-003	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	not-vendored	withholds-reasoner
New-Feature-ReflexiveProperty-001	new-feature-reflexiveproperty-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	FUNCTIONAL;RDFXML	yes	conclusion	graded-positive	graded	graded
New-Feature-SelfRestriction-001	new-feature-selfrestriction-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL	Approved	FUNCTIONAL;RDFXML	yes	conclusion	outside-rl-profile	graded	graded
